sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
CC_FEM,,Default,simple,"Default Category/Career Solutions,Default Category/Career Solutions/Member Engagement",base,"Featured Employer Module","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean fermentum elit sed nisl dictum ultrices. Morbi molestie dui orci, at sagittis sem commodo ut. Phasellus ipsum libero, dignissim ut odio tempor, cursus malesuada eros. Phasellus suscipit urna at lacus maximus vulputate. Ut vel posuere libero. Maecenas maximus nulla non nulla scelerisque pretium vitae sed elit. Aliquam mauris justo, porttitor et justo vel, hendrerit ornare enim. Praesent at odio auctor, condimentum enim sed, malesuada nisi. Morbi porta nulla nulla. Vivamus elit enim, pellentesque laoreet mauris ut, rhoncus luctus mi. Duis vitae risus eu diam porta hendrerit. Lorem ipsum dolor sit amet, consectetur adipiscing elit.</p>
<p></p>
<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean fermentum elit sed nisl dictum ultrices. Morbi molestie dui orci, at sagittis sem commodo ut. Phasellus ipsum libero, dignissim ut odio tempor, cursus malesuada eros. Phasellus suscipit urna at lacus maximus vulputate. Ut vel posuere libero. Maecenas maximus nulla non nulla scelerisque pretium vitae sed elit. Aliquam mauris justo, porttitor et justo vel, hendrerit ornare enim. Praesent at odio auctor, condimentum enim sed, malesuada nisi. Morbi porta nulla nulla. Vivamus elit enim, pellentesque laoreet mauris ut, rhoncus luctus mi. Duis vitae risus eu diam porta hendrerit. Lorem ipsum dolor sit amet, consectetur adipiscing elit.</p>
<p>Quisque non quam vestibulum, scelerisque tortor vitae, aliquam purus. Proin maximus lorem ex, interdum dapibus sapien vulputate eu. Maecenas sed justo convallis ante dictum bibendum. Donec gravida elit nunc. Duis iaculis odio in massa aliquam, at dapibus massa laoreet. Fusce venenatis, enim a malesuada luctus, ex nulla tempus lorem, eget porta quam velit eget dolor. Vivamus at massa tincidunt, euismod eros eget, dignissim felis. Donec molestie metus sed maximus vulputate. Donec gravida auctor molestie. Nam fermentum, nibh sed ornare porttitor, ante lectus vulputate neque, nec dignissim nulla nisl nec ante.</p>
<p>Vivamus fringilla elementum augue vitae convallis. Integer neque metus, dignissim facilisis dignissim eget, cursus eu nisl. Nam felis sapien, ullamcorper sit amet viverra vitae, sodales non nulla. Maecenas vitae mattis ligula. Quisque volutpat nec massa at tempor. In eleifend vulputate semper. Donec id lacinia ante. Nullam ullamcorper tincidunt tincidunt. Aenean mi massa, porttitor efficitur arcu non, faucibus varius risus. Donec efficitur enim at diam pharetra, at fermentum orci dictum.</p><img src=""{{media url=""wysiwyg/product-icon.png""}}"" alt="""" />",,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-featuredemployer_1.png,,/c/a/careers-featuredemployer_1.png,,/c/a/careers-featuredemployer_1.png,,/c/a/careers-featuredemployer_1.png,,"7/24/17, 9:25 AM","8/9/17, 7:47 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,display_category=security,122.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/c/a/careers-featuredemployer_1.png,/p/r/profile-img.jpg,/s/l/slide2.jpg,/s/l/slide4.jpg,/s/l/slide1.jpg,/s/l/slide3.jpg",",,,,,",,,,,,,,
AMS_ADV-2,,Default,simple,"Default Category/Add-Ons",base,"Student Internship Module",,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-11,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-studentinternships.png,,/c/a/careers-studentinternships.png,,/c/a/careers-studentinternships.png,,/c/a/careers-studentinternships.png,,"8/1/17, 11:47 AM","8/1/17, 11:47 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,150.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/careers-studentinternships.png,,,,,,,,,
AMS_ADV-1-1-1,,Default,simple,"Default Category/Add-Ons",base,"Mentoring Module",,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-10,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,"8/1/17, 11:46 AM","8/1/17, 11:46 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,150.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/careers-mentoring.png,,,,,,,,,
AMS_ADV-1-1,,Default,simple,"Default Category/Add-Ons",base,"Jobseeker Resources Module",,,,2,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-9,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-jobseekerresources.png,,/c/a/careers-jobseekerresources.png,,/c/a/careers-jobseekerresources.png,,/c/a/careers-jobseekerresources.png,,"8/1/17, 11:45 AM","8/1/17, 11:45 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/careers-jobseekerresources.png,,,,,,,,,
CC_JRM,,Default,simple,"Default Category/Add-Ons",base,"Jobseeker Resources Module","<p>The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and urable under strain.</p>
<ul>
<li>100% soft and durable cotton.</li>
<li>Plastic cinch buckle is easy to use.</li>
<li>Three natural colors made from phthalate and heavy metal free dyes.</li>
</ul>",,,1,"Taxable Goods","Catalog, Search",14.0000,,,,sprite-yoga-strap-6-foot,,,,/c/a/careers-jobseekerresources.png,,/c/a/careers-jobseekerresources.png,,/c/a/careers-jobseekerresources.png,,,,"7/28/17, 3:32 PM","8/9/17, 7:33 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/careers-jobseekerresources.png,,,,,,,,,
CC_MM,,Default,simple,"Default Category/Career Solutions,Default Category/Product Enhancement",base,"Mentoring Module",,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-8,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,/c/a/careers-mentoring.png,,"7/25/17, 8:07 AM","8/9/17, 7:33 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,222.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/careers-mentoring.png,,,,,,,,,
AMS_ADV-1,,Default,simple,"Default Category/Add-Ons",base,"Dual Search Module",,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-7,"Naylor Blog","Naylor Blog","Naylor Blog ",/c/a/careers-dualsearch.png,,/c/a/careers-dualsearch.png,,/c/a/careers-dualsearch.png,,/c/a/careers-dualsearch.png,,"7/24/17, 9:31 AM","7/24/17, 9:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,150.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/c/a/careers-dualsearch.png,/c/a/careers-dualsearch_1.png",",",,,,,,,,
AMS_ADV,,Default,simple,"Default Category/Product Enhancement,Default Category/Integrations,Default Category/Career Solutions/Member Engagement",base,E-Store,,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-6,"Naylor Blog","Naylor Blog","Naylor Blog ",/a/m/ams-estore_1.png,,/a/m/ams-estore_1.png,,/a/m/ams-estore_1.png,,/a/m/ams-estore_1.png,,"7/24/17, 9:30 AM","7/24/17, 9:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/m/ams-estore_1.png,,,,,,,,,
AMS_QUZ,,Default,simple,"Default Category/Integrations,Default Category/Product Enhancement,Default Category/ AMS Solutions,Default Category/Career Solutions/Member Engagement,Default Category/Career Solutions",base,CMS,,,,1,"Taxable Goods","Catalog, Search",150.0000,,,,naylor-blog-5,"Naylor Blog","Naylor Blog","Naylor Blog ",/a/m/ams-cms_1.png,,/a/m/ams-cms_1.png,,/a/m/ams-cms_1.png,,/a/m/ams-cms_1.png,,"7/24/17, 9:29 AM","7/24/17, 9:30 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/m/ams-cms_1.png,,,,,,,,,
AMS_TSK,,Default,simple,"Default Category/Product Enhancement,Default Category/Integrations,Default Category/Career Solutions/Member Engagement",base,"Job Posting Admin Email Notifications",,,,1,"Taxable Goods","Catalog, Search",200.0000,,,,naylor-blog-4,"Naylor Blog","Naylor Blog","Naylor Blog ",/a/m/ams-surveys.png,,/a/m/ams-surveys.png,,/a/m/ams-surveys.png,,/a/m/ams-surveys.png,,"7/24/17, 9:28 AM","7/24/17, 9:29 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,56.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/m/ams-surveys.png,,,,,,,,,
